zip,fips,county_name,state_abbreviation
47236,18005,Bartholomew,IN
47870,18167,Vigo,IN
47851,18167,Vigo,IN
47337,18065,Henry,IN
47435,18013,Brown,IN
47514,18123,Perry,IN
46045,18159,Tipton,IN
46206,18097,Marion,IN
46704,18003,Allen,IN
47585,18173,Warrick,IN
47585,18037,Dubois,IN
47585,18125,Pike,IN
46534,18099,Marshall,IN
46534,18131,Pulaski,IN
46534,18149,Starke,IN
46534,18091,LaPorte,IN
46127,18139,Rush,IN
46127,18041,Fayette,IN
47660,18173,Warrick,IN
47660,18051,Gibson,IN
47660,18125,Pike,IN
47597,18083,Knox,IN
47597,18027,Daviess,IN
47424,18101,Martin,IN
47424,18055,Greene,IN
47424,18105,Monroe,IN
47424,18119,Owen,IN
47519,18037,Dubois,IN
47519,18027,Daviess,IN
46235,18097,Marion,IN
46235,18059,Hancock,IN
46118,18109,Morgan,IN
46118,18063,Hendricks,IN
46224,18097,Marion,IN
46256,18097,Marion,IN
46256,18059,Hancock,IN
46256,18057,Hamilton,IN
47948,18007,Benton,IN
47948,18111,Newton,IN
47948,18073,Jasper,IN
47951,18007,Benton,IN
47951,17075,Iroquois,IL
47951,18111,Newton,IN
46254,18097,Marion,IN
46077,18097,Marion,IN
46077,18063,Hendricks,IN
46077,18057,Hamilton,IN
46077,18011,Boone,IN
47575,18037,Dubois,IN
46910,18103,Miami,IN
46910,18169,Wabash,IN
46910,18049,Fulton,IN
46910,18085,Kosciusko,IN
47432,18025,Crawford,IN
47432,18037,Dubois,IN
47432,18117,Orange,IN
47432,18101,Martin,IN
46120,18119,Owen,IN
46120,18109,Morgan,IN
46120,18133,Putnam,IN
47841,18119,Owen,IN
47841,18021,Clay,IN
46552,18091,LaPorte,IN
46552,18141,St. Joseph,IN
46552,26021,Berrien,MI
47633,18163,Vanderburgh,IN
47633,18129,Posey,IN
47633,18051,Gibson,IN
47631,18129,Posey,IN
47631,17193,White,IL
47620,21225,Union,KY
47620,17059,Gallatin,IL
47620,21101,Henderson,KY
47620,18163,Vanderburgh,IN
47620,18129,Posey,IN
47620,17193,White,IL
47616,18129,Posey,IN
47616,17193,White,IL
47616,18051,Gibson,IN
47616,17185,Wabash,IL
46759,18009,Blackford,IN
46759,18179,Wells,IN
47438,18055,Greene,IN
47438,18153,Sullivan,IN
47438,18021,Clay,IN
46731,18179,Wells,IN
46731,18001,Adams,IN
47404,18055,Greene,IN
47404,18105,Monroe,IN
47404,18119,Owen,IN
47404,18109,Morgan,IN
46970,18103,Miami,IN
46970,18169,Wabash,IN
46970,18017,Cass,IN
47584,18125,Pike,IN
46761,18087,LaGrange,IN
46761,18151,Steuben,IN
46571,18113,Noble,IN
46571,18087,LaGrange,IN
47283,18079,Jennings,IN
47283,18137,Ripley,IN
47283,18005,Bartholomew,IN
47283,18031,Decatur,IN
46750,18069,Huntington,IN
46750,18169,Wabash,IN
46750,18183,Whitley,IN
46590,18085,Kosciusko,IN
46368,18089,Lake,IN
46368,18127,Porter,IN
47371,18135,Randolph,IN
47371,18075,Jay,IN
47371,39037,Darke,OH
47371,39107,Mercer,OH
47421,18175,Washington,IN
47421,18071,Jackson,IN
47421,18093,Lawrence,IN
47421,18105,Monroe,IN
46143,18081,Johnson,IN
46143,18097,Marion,IN
46143,18109,Morgan,IN
47234,18005,Bartholomew,IN
47234,18031,Decatur,IN
47234,18145,Shelby,IN
47380,18135,Randolph,IN
47380,18075,Jay,IN
46071,18107,Montgomery,IN
46071,18011,Boone,IN
46071,18023,Clinton,IN
47138,18019,Clark,IN
47138,18143,Scott,IN
47138,18077,Jefferson,IN
46510,18085,Kosciusko,IN
47336,18035,Delaware,IN
47336,18075,Jay,IN
47336,18009,Blackford,IN
47227,18077,Jefferson,IN
47227,18071,Jackson,IN
47227,18079,Jennings,IN
47170,18019,Clark,IN
47170,18175,Washington,IN
47170,18143,Scott,IN
47170,18077,Jefferson,IN
47170,18071,Jackson,IN
47282,18079,Jennings,IN
47959,18181,White,IN
47959,18073,Jasper,IN
47959,18131,Pulaski,IN
46130,18145,Shelby,IN
46130,18059,Hancock,IN
47982,17183,Vermilion,IL
47982,18171,Warren,IN
47320,18135,Randolph,IN
47320,18035,Delaware,IN
47320,18075,Jay,IN
47991,17183,Vermilion,IL
47991,18171,Warren,IN
47038,18155,Switzerland,IN
47038,21077,Gallatin,KY
47038,21015,Boone,KY
47374,18161,Union,IN
47374,18177,Wayne,IN
47374,39135,Preble,OH
47374,39037,Darke,OH
46920,18067,Howard,IN
46920,18023,Clinton,IN
46920,18015,Carroll,IN
46985,18049,Fulton,IN
46985,18017,Cass,IN
46985,18181,White,IN
46985,18131,Pulaski,IN
47994,18107,Montgomery,IN
47994,18045,Fountain,IN
47994,18157,Tippecanoe,IN
47955,18107,Montgomery,IN
47955,18157,Tippecanoe,IN
47957,18073,Jasper,IN
47957,18131,Pulaski,IN
47172,18043,Floyd,IN
47172,18019,Clark,IN
40291,21029,Bullitt,KY
40291,21111,Jefferson,KY
42081,21157,Marshall,KY
42081,21139,Livingston,KY
42003,21083,Graves,KY
42003,21157,Marshall,KY
42003,21145,McCracken,KY
42003,21139,Livingston,KY
40509,21049,Clark,KY
40509,21067,Fayette,KY
40071,21179,Nelson,KY
40071,21029,Bullitt,KY
40071,21215,Spencer,KY
40071,21111,Jefferson,KY
40071,21211,Shelby,KY
41005,21015,Boone,KY
40215,21111,Jefferson,KY
41169,21019,Boyd,KY
41169,21089,Greenup,KY
41169,39087,Lawrence,OH
41063,21117,Kenton,KY
41063,21037,Campbell,KY
40025,21111,Jefferson,KY
40511,21239,Woodford,KY
40511,21067,Fayette,KY
40511,21017,Bourbon,KY
40511,21209,Scott,KY
42701,21123,Larue,KY
42701,21093,Hardin,KY
42701,21179,Nelson,KY
42701,21029,Bullitt,KY
40502,21067,Fayette,KY
42301,21149,McLean,KY
42301,21059,Daviess,KY
42301,21101,Henderson,KY
42049,47079,Henry,TN
42049,21035,Calloway,KY
42049,21083,Graves,KY
40003,21211,Shelby,KY
40003,21073,Franklin,KY
40003,21103,Henry,KY
40212,21111,Jefferson,KY
42171,21003,Allen,KY
42171,21227,Warren,KY
42171,21009,Barren,KY
42171,21061,Edmonson,KY
42370,21183,Ohio,KY
41049,21205,Rowan,KY
41049,21011,Bath,KY
41049,21069,Fleming,KY
40336,21109,Jackson,KY
40336,21129,Lee,KY
40336,21065,Estill,KY
40336,21151,Madison,KY
40336,21197,Powell,KY
40336,21049,Clark,KY
41006,21191,Pendleton,KY
41006,21117,Kenton,KY
41006,21037,Campbell,KY
42603,21231,Wayne,KY
42603,21053,Clinton,KY
42347,21183,Ohio,KY
42347,21149,McLean,KY
42347,21059,Daviess,KY
42079,47183,Weakley,TN
42079,47079,Henry,TN
42079,21083,Graves,KY
42088,21105,Hickman,KY
42088,21083,Graves,KY
40374,21173,Montgomery,KY
40374,21011,Bath,KY
40374,21017,Bourbon,KY
40374,21181,Nicholas,KY
40374,21069,Fleming,KY
42170,21213,Simpson,KY
42170,21141,Logan,KY
42170,21227,Warren,KY
40769,47013,Campbell,TN
40769,21013,Bell,KY
40769,21147,McCreary,KY
40769,21235,Whitley,KY
41179,21205,Rowan,KY
41179,21069,Fleming,KY
41179,21161,Mason,KY
41179,21043,Carter,KY
41179,21135,Lewis,KY
41040,21097,Harrison,KY
41040,21081,Grant,KY
41040,21023,Bracken,KY
41040,21191,Pendleton,KY
42743,21169,Metcalfe,KY
42743,21001,Adair,KY
42743,21087,Green,KY
42743,21099,Hart,KY
42743,21217,Taylor,KY
40468,21155,Marion,KY
40468,21229,Washington,KY
40468,21167,Mercer,KY
40468,21021,Boyle,KY
42518,21231,Wayne,KY
42518,21199,Pulaski,KY
42273,21031,Butler,KY
42273,21177,Muhlenberg,KY
42273,21183,Ohio,KY
42038,21221,Trigg,KY
42038,21143,Lyon,KY
42038,21033,Caldwell,KY
42038,21055,Crittenden,KY
40902,21013,Bell,KY
40902,21121,Knox,KY
41603,21071,Floyd,KY
42411,21143,Lyon,KY
42411,21033,Caldwell,KY
42411,21055,Crittenden,KY
41640,21119,Knott,KY
41640,21071,Floyd,KY
41640,21153,Magoffin,KY
41095,21081,Grant,KY
41095,21077,Gallatin,KY
41095,21015,Boone,KY
41086,21187,Owen,KY
41086,21041,Carroll,KY
41086,21077,Gallatin,KY
41553,21195,Pike,KY
41553,51027,Buchanan,VA
41311,21189,Owsley,KY
41311,21109,Jackson,KY
41311,21129,Lee,KY
41311,21025,Breathitt,KY
41311,21065,Estill,KY
41311,21237,Wolfe,KY
41003,21097,Harrison,KY
41003,21081,Grant,KY
41003,21191,Pendleton,KY
42437,21233,Webster,KY
42437,21225,Union,KY
42437,21101,Henderson,KY
42206,21213,Simpson,KY
42206,21141,Logan,KY
42206,21227,Warren,KY
42206,21031,Butler,KY
42653,21147,McCreary,KY
42653,21235,Whitley,KY
42653,21231,Wayne,KY
42653,21199,Pulaski,KY
42408,21047,Christian,KY
42408,21033,Caldwell,KY
42408,21107,Hopkins,KY
41659,21195,Pike,KY
41659,21071,Floyd,KY
41256,21115,Johnson,KY
41840,21133,Letcher,KY
42265,47147,Robertson,TN
42265,21141,Logan,KY
42265,21219,Todd,KY
42254,21221,Trigg,KY
42254,21047,Christian,KY
41568,21195,Pike,KY
41568,51027,Buchanan,VA
41568,54059,Mingo,WV
41539,21195,Pike,KY
41425,21165,Menifee,KY
41425,21237,Wolfe,KY
41425,21175,Morgan,KY
40040,21229,Washington,KY
40040,21167,Mercer,KY
40440,21045,Casey,KY
40440,21137,Lincoln,KY
40440,21021,Boyle,KY
40915,21121,Knox,KY
42441,21107,Hopkins,KY
42441,21233,Webster,KY
42324,21177,Muhlenberg,KY
41124,21115,Johnson,KY
41124,21127,Lawrence,KY
41124,21063,Elliott,KY
41201,21127,Lawrence,KY
40949,21121,Knox,KY
41621,21071,Floyd,KY
41725,21119,Knott,KY
41535,21195,Pike,KY
40346,21165,Menifee,KY
40346,21173,Montgomery,KY
40346,21011,Bath,KY
41714,21051,Clay,KY
41714,21131,Leslie,KY
41548,21195,Pike,KY
41548,51027,Buchanan,VA
46385,18089,Lake,IN
46385,18127,Porter,IN
47838,18083,Knox,IN
47838,17033,Crawford,IL
47838,18055,Greene,IN
47838,18153,Sullivan,IN
46301,18127,Porter,IN
46301,18091,LaPorte,IN
47129,21111,Jefferson,KY
47129,18043,Floyd,IN
47129,18019,Clark,IN
46550,18085,Kosciusko,IN
46550,18099,Marshall,IN
46550,18039,Elkhart,IN
46550,18141,St. Joseph,IN
47989,18133,Putnam,IN
47989,18121,Parke,IN
47989,18107,Montgomery,IN
46030,18057,Hamilton,IN
46034,18057,Hamilton,IN
47117,21093,Hardin,KY
47117,21163,Meade,KY
47117,21111,Jefferson,KY
47117,18061,Harrison,IN
47117,18043,Floyd,IN
46992,18103,Miami,IN
46992,18069,Huntington,IN
46992,18169,Wabash,IN
47142,21163,Meade,KY
47142,18061,Harrison,IN
46946,18169,Wabash,IN
46946,18085,Kosciusko,IN
47110,18061,Harrison,IN
46057,18023,Clinton,IN
46049,18057,Hamilton,IN
46049,18159,Tipton,IN
46049,18067,Howard,IN
46049,18023,Clinton,IN
47520,21163,Meade,KY
47520,21027,Breckinridge,KY
47520,21091,Hancock,KY
47520,18123,Perry,IN
47520,18025,Crawford,IN
46570,18049,Fulton,IN
46570,18099,Marshall,IN
46911,18067,Howard,IN
46911,18053,Grant,IN
46911,18103,Miami,IN
46911,18169,Wabash,IN
46793,18033,DeKalb,IN
46793,18151,Steuben,IN
46320,18089,Lake,IN
46320,17031,Cook,IL
47807,18167,Vigo,IN
46808,18003,Allen,IN
47203,18005,Bartholomew,IN
46933,18053,Grant,IN
46938,18053,Grant,IN
46536,18099,Marshall,IN
46536,18141,St. Joseph,IN
47713,21101,Henderson,KY
47713,18163,Vanderburgh,IN
46615,18141,St. Joseph,IN
46613,18141,St. Joseph,IN
46809,18003,Allen,IN
46748,18003,Allen,IN
46748,18113,Noble,IN
46748,18033,DeKalb,IN
46816,18003,Allen,IN
46225,18097,Marion,IN
46186,18059,Hancock,IN
46186,18065,Henry,IN
46186,18095,Madison,IN
47338,18035,Delaware,IN
47338,18009,Blackford,IN
46501,18049,Fulton,IN
46501,18099,Marshall,IN
46742,18033,DeKalb,IN
46742,18151,Steuben,IN
46742,39171,Williams,OH
47863,18167,Vigo,IN
47941,18157,Tippecanoe,IN
46989,18035,Delaware,IN
46989,18009,Blackford,IN
46989,18053,Grant,IN
46705,18033,DeKalb,IN
46705,18151,Steuben,IN
46556,18141,St. Joseph,IN
46930,18053,Grant,IN
47930,18107,Montgomery,IN
47930,18023,Clinton,IN
47930,18157,Tippecanoe,IN
47021,18137,Ripley,IN
47875,18165,Vermillion,IN
46170,18133,Putnam,IN
46980,18169,Wabash,IN
46779,18151,Steuben,IN
46794,18113,Noble,IN
46760,18183,Whitley,IN
46760,18113,Noble,IN
46379,18111,Newton,IN
46379,18089,Lake,IN
47836,18121,Parke,IN
47925,18181,White,IN
46959,18103,Miami,IN
46393,18127,Porter,IN
40858,21131,Leslie,KY
40806,21095,Harlan,KY
40744,21147,McCreary,KY
40744,21235,Whitley,KY
40744,21121,Knox,KY
40744,21199,Pulaski,KY
40744,21125,Laurel,KY
40744,21051,Clay,KY
41773,21133,Letcher,KY
41773,21193,Perry,KY
41773,21119,Knott,KY
41632,21119,Knott,KY
41632,21025,Breathitt,KY
41632,21071,Floyd,KY
41632,21153,Magoffin,KY
40831,21013,Bell,KY
40831,51105,Lee,VA
40831,21095,Harlan,KY
41843,21133,Letcher,KY
41843,21119,Knott,KY
41260,21115,Johnson,KY
42742,21001,Adair,KY
40355,21187,Owen,KY
42440,21107,Hopkins,KY
42285,21061,Edmonson,KY
41526,21195,Pike,KY
41517,21133,Letcher,KY
40219,21111,Jefferson,KY
42274,21213,Simpson,KY
42274,21141,Logan,KY
42274,21227,Warren,KY
42274,21031,Butler,KY
40216,21111,Jefferson,KY
40258,21111,Jefferson,KY
41144,21089,Greenup,KY
40356,21079,Garrard,KY
40356,21151,Madison,KY
40356,21113,Jessamine,KY
40356,21239,Woodford,KY
40356,21067,Fayette,KY
42027,21083,Graves,KY
42027,21145,McCracken,KY
40175,21093,Hardin,KY
40175,21163,Meade,KY
40175,21027,Breckinridge,KY
40217,21111,Jefferson,KY
40218,21111,Jefferson,KY
40010,21185,Oldham,KY
41030,21081,Grant,KY
41030,21191,Pendleton,KY
41030,21077,Gallatin,KY
41030,21117,Kenton,KY
41030,21015,Boone,KY
41094,21117,Kenton,KY
41094,21015,Boone,KY
41059,21037,Campbell,KY
41018,21117,Kenton,KY
41018,21015,Boone,KY
40508,21067,Fayette,KY
40505,21067,Fayette,KY
42724,21093,Hardin,KY
42724,21027,Breckinridge,KY
42025,21035,Calloway,KY
42025,21083,Graves,KY
42025,21221,Trigg,KY
42025,21143,Lyon,KY
42025,21157,Marshall,KY
42083,21143,Lyon,KY
42083,21139,Livingston,KY
42083,21055,Crittenden,KY
41007,21023,Bracken,KY
41007,21191,Pendleton,KY
41007,21037,Campbell,KY
42740,21093,Hardin,KY
42776,21099,Hart,KY
42776,21085,Grayson,KY
42776,21123,Larue,KY
42776,21093,Hardin,KY
42349,21031,Butler,KY
42349,21085,Grayson,KY
42349,21183,Ohio,KY
40437,21045,Casey,KY
40437,21155,Marion,KY
40437,21137,Lincoln,KY
42368,21183,Ohio,KY
42368,21091,Hancock,KY
41035,21187,Owen,KY
